ESO Period 102 - 103 (105) Protected Guaranteed Time Observations - ESPRESSO,,,,,,,,,,,,,
"Note: Protection column concerns the period for target protection. 6 months is the default, 24 months should be entered if the GTO proposal will run over four periods (GTO-Large).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection ,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months (see Note),
K2-101,8,41,22.58,18,56,1.9,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-36,11,17,47.78,3,51,59,ESPRESSO,SINGLEHR,anyUT,8,Pepe,12,-
K2-10,11,28,29.27,1,41,26.3,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-3,11,29,20.39,-1,27,17.2,ESPRESSO,SINGLEHR,anyUT,12,Pepe,12,-
K2-156,12,10,48.04,-6,17,39.1,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-157,12,15,0.32,-5,46,55.2,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-126,13,34,11.17,-13,34,36.9,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-38,16,0,8.06,-23,11,21.4,ESPRESSO,SINGLEHR,anyUT,8,Pepe,12,-
K2-37,16,13,48.24,-24,47,13.4,ESPRESSO,SINGLEHR,anyUT,12,Pepe,12,-
K2-129,19,16,35.6,-25,38,41.9,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-58,22,15,17.23,-14,2,59.3,ESPRESSO,SINGLEHR,anyUT,12,Pepe,12,-
K2-62,22,17,27.4,-12,11,15,ESPRESSO,SINGLEHR,anyUT,8,Pepe,12,-
K2-54,22,32,13.01,-17,32,38.4,ESPRESSO,SINGLEHR,anyUT,5,Pepe,12,-
K2-21,22,41,12.88,-14,29,20.4,ESPRESSO,SINGLEHR,anyUT,8,Pepe,12,-
K2-138,23,15,47.77,-10,50,58.9,ESPRESSO,SINGLEHR,anyUT,18,Pepe,12,-
